Lab control check 1 English Group;Lab controk check 1 Grupo de Laboratorio 3;Lab controk check 1 Grupos de Laboratorio 4 y 5 ;Lab controk check 1 Grupo de Laboratorio 1 y 2;Lab controk check 1 Grupos de Laboratorio de Tarde;Control check 1;Lab control check 2 English Group [Puntos totales: 10 Puntuación] |52082;Lab Control Check 2 Grupos de laboratorio L6, L7 y L8 [Puntos totales: 10 Puntuación] |52083;Lab controk check 2 Grupos de Laboratorio L4 y L5 [Puntos totales: 10 Puntuación] |52083;Lab controk check 2 Grupo de Laboratorio L3 [Puntos totales: 10 Puntuación] |52083;Lab controk check 2 Grupos de Laboratorio L1 y L2 [Puntos totales: 10 Puntuación] |52096;Control Check 2;Parcial Lab Control Check;Final Lab Control-check [Puntos totales: 10 Puntuación] |52277;
;;;;8;8;;7;;;;7;7,5;;7,5
;;;;;;;;;;;;;;
;0;;;;0;;;;;;;0,0;;0,0
;;0;;;0;;;1;;;1;1,0;4;4,0
;;;1;;1;;;;;;;0,5;;0,5
2;;;;;2;7;;;;;7;7,0;;7,0
;;;4;;4;;;;;;;2,0;;2,0
;;;;;;;;;;;;;;
;;4;;;4;;;;;;;2,0;;2,0
;;7;;;7;;;8;;;8;8,0;;8,0
;;1;;;1;;;6;;;6;6,0;;6,0
;;;;2;2;;;;;;;1,0;;1,0
;;;;;;;;;;;;;;
;;;9;;9;;;;;5;5;7,0;;7,0
;;;;;;;;;;;;;;
;;7;;;7;;;4;;;4;5,5;;5,5
;;;;6;6;;3;;;;3;4,5;;4,5
;;0;;;0;;;5;;;5;5,0;;5,0
;;;0;;0;;;;;5;5;5,0;;5,0
;;10;;;10;;;6;;;6;8,0;;8,0
;;;8;;8;;;;;5;5;6,5;;6,5
;9;;;;9;;;;7;;7;8,0;;8,0
;;;;6;6;;6;;;;6;6,0;;6,0
;;;;6;6;;4;;;;4;5,0;;5,0
;;8;;;8;;;4;;;4;6,0;;6,0
0;;;;;0;0;;;;;0;0,0;6;6,0
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;8;;;;8;;;;5;;5;6,5;;6,5
0;;;;;0;9;;;;;9;9,0;;9,0
;;;;;;;;;;;;;;
;;0;;;0;;;6;;;6;6,0;;6,0
;;;;;;;;;;;;;;
;;7;;;7;;;6;;;6;6,5;;6,5
;;3;;;3;;;;;;;1,5;;1,5
;;9;;;9;;;6;;;6;7,5;;7,5
;;;9;;9;;;;;5;5;7,0;;7,0
;;;;;;;;;;;;;;
;;1;;;1;;;;;;;0,5;;0,5
;;9;;;9;;;6;;;6;7,5;;7,5
;0;;;;0;;;;0;;0;0,0;7;7,0
;;9;;;9;;;3;;;3;6,0;;6,0
;;;;9;9;;4;;;;4;6,5;;6,5
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;0;0;;0;;;;0;0,0;6;6,0
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
6;;;;;6;6;;;;;6;6,0;;6,0
;;0;;;0;;;;;;;0,0;;0,0
;;;;;;;;;;;;;0;0,0
;;9;;;9;;;6;;;6;7,5;;7,5
;;;;;;;;;;6;6;6,0;;6,0
;;0;;;0;;;1;;;1;1,0;4;4,0
;;;;9;9;;5;;;;5;7,0;;7,0
;;;;8;8;;5;;;;5;6,5;;6,5
4;;;;;4;;;;;;;2,0;7;7,0
;;;;6;6;;4;;;;4;5,0;;5,0
;;;3;;3;;;;;0;0;1,5;5;5,0
;;;0;;0;;;;;;;0,0;;0,0
;0;;;;0;;;;0;;0;0,0;6;6,0
;;;;9;9;;4;;;;4;6,5;;6,5
;;;;6;6;;4;;;;4;5,0;;5,0
;;;;;;;;;;;;;;
;6;;;;6;;;;;;;3,0;6;6,0
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;8;8;;4;;;;4;6,0;;6,0
;;;;;;;;;;3;3;3,0;7;7,0
;;;;;;;;;;;;;;
;;4;;;4;;;5;;;5;5,0;;5,0
;;;;6;6;;4;;;;4;5,0;;5,0
;;;8;;8;;;;;5;5;6,5;;6,5
;;10;;;10;;;6;;;6;8,0;;8,0
7;;;;;7;10;;;;;10;10,0;;10,0
5;;;;;5;5;;;;;5;5,0;;5,0
;;;;;;;;;;;;;;
;;;2;;2;;;;;;;1,0;;1,0
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;0;;;0;;;0;;;0;0,0;4;4,0
;;;;;;;;;;;;;;
;;;;9;9;;3;;;;3;6,0;5;6,0
;6;;;;6;;;;7;;7;7,0;;7,0
;6;;;;6;;;;4;;4;5,0;;5,0
;;;4;;4;;;;;;;2,0;6;6,0
;;;;8;8;;;;;;;4,0;;4,0
;;;;;;;;;;;;;;
;9;;;;9;;;;5;;5;7,0;;7,0
;;2;;;2;;;6;;;6;6,0;;6,0
;;;;0;0;;4;;;;4;4,0;;4,0
;;;10;;10;;0;;;;0;5,0;7;7,0
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;8;;8;;;;;7;7;7,5;;7,5
;;0;;;0;;;2;;;2;2,0;5;5,0
;;;0;;0;;;;;0;0;0,0;6;6,0
;;10;;;10;;;8;;;8;9,0;;9,0
;;;;;;;;;;;;;;
;;;;0;0;;8;;;;8;8,0;;8,0
0;;;;;0;4;;;;;4;4,0;;4,0
;;0;;;0;;;6;;;6;6,0;;6,0
;;;;4;4;;4;;;;4;4,0;;4,0
;;;;;;;;;;;;;;
;;;;9;9;;7;;;;7;8,0;;8,0
;;6;;;6;;;3;;;3;4,5;;4,5
9;;;;;9;10;;;;;10;10,0;;10,0
;;;;6;6;;0;;;;0;3,0;5;5,0
;;8;;;8;;;4;;;4;6,0;;6,0
;;;;7;7;;4;;;;4;5,5;;5,5
;;;;;;;;;;;;;;
;0;;;;0;;;;;4;4;4,0;;4,0
;;;;;;;;;;;;;;
;;;;8;8;;10;;;;10;10,0;;10,0
;;;;;;;0;;;;0;0,0;4;4,0
;5;;;;5;;;;6;;6;6,0;;6,0
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;1;;;1;;;;;;;0,5;;0,5
;;;;8;8;;4;;;;4;6,0;;6,0
;;;;2;2;;4;;;;4;4,0;;4,0
;;;7;;7;;;;;3;3;5,0;;5,0
;;;2;;2;;;;;5;5;5,0;;5,0
;;;;;;;;;;;;;;
;;;0;;0;;;;;1;1;1,0;5;5,0
;;;;;;;;;;;;;;
;9;;;;9;;;;2;;2;5,5;;5,5
;;;;8;8;;4;;;;4;6,0;;6,0
;;;;;;;;;;;;;;
;;6;;;6;;;5;;;5;5,5;;5,5
;;;;8;8;;6;;;;6;7,0;;7,0
;9;;;;9;;;;6;;6;7,5;;7,5
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;0;;;0;;;5;;;5;5,0;;5,0
;;;;7;7;;1;;;;1;4,0;;4,0
;;9;;;9;;4;;;;4;6,5;;6,5
;;;9;;9;;;;;;;4,5;;4,5
;;;10;;10;;;;;7;7;8,5;;8,5
;;;;;;;;;;;;;;
;;9;;;9;;;1;;;1;5,0;;5,0
;;;;9;9;;7;;;;7;8,0;;8,0
;;;;;;;;;;;;;;
;;;;6;6;;0;;;;0;3,0;;3,0
;;;;9;9;;6;;;;6;7,5;;7,5
;;;;;;;;;;;;;;
;;;;8;8;;3;;;;3;5,5;;5,5
;;;;10;10;;6;;;;6;8,0;;8,0
;;;;;;;;;;;;;;
5;;;;;5;4;;;;;4;4,5;;4,5
;;;;;;;;;;;;;;
0;;;;;0;6;;;;;6;6,0;;6,0
;;;;5;5;;;;;;;2,5;7;7,0
;;;;10;10;;8;;;;8;9,0;;9,0
;;;6;;6;;;;;1;1;3,5;5;5,0
;;7;;;7;;;6;;;6;6,5;;6,5
;;;;;;;;;;;;;;
;;;;1;1;;4;;;;4;4,0;;4,0
;;;;;;;;;;;;;;
;;;7;;7;;;;;5;5;6,0;;6,0
;4;;;;4;;;;0;;0;2,0;4;4,0
;;;;0;0;;0;;;;0;0,0;;0,0
;;;;;;;;;;;;;;
;;;;;;;;0;;;0;0,0;6;6,0
;;;;9;9;;4;;;;4;6,5;;6,5
;;;;;;;;;;;;;;
;;;;7;7;;6;;;;6;6,5;;6,5
;;;;1;1;;6;;;;6;6,0;;6,0
;;;10;;10;;;;;10;10;10,0;7;10,0
;;;0;;0;;;;;;;0,0;;0,0
;;;;9;9;;6;;;;6;7,5;;7,5
;1;;;;1;;;;5;;5;5,0;;5,0
;;4;;;4;;;5;;;5;5,0;;5,0
;;;;;;;;;;;;;;
;;;;8;8;;2;;;;2;5,0;;5,0
;;;;;;;;7;;;7;7,0;;7,0
;;;7;;7;;;;;2;2;4,5;;4,5
;0;;;;0;;;;5;;5;5,0;;5,0
;7;;;;7;;;;;;;3,5;;3,5
;8;;;;8;;;;4;;4;6,0;;6,0
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;1;;1;;;;;5;5;5,0;;5,0
;;0;;;0;;;0;;;0;0,0;6;6,0
;;;;5;5;;9;;;;9;9,0;;9,0
4;;;;;4;8;;;;;8;8,0;;8,0
;;;;;;;;;;;;;;
;;3;;;3;;;0;;;0;1,5;4;4,0
;9;;;;9;;;;8;;8;8,5;;8,5
;;;;0;0;;6;;;;6;6,0;;6,0
;;;;6;6;;7;;;;7;7,0;;7,0
;0;;;;0;;;;;;;0,0;5;5,0
;;0;;;0;;;4;;;4;4,0;;4,0
;;;;2;2;;0;;;;0;1,0;4;4,0
;;;7;;7;;;;;7;7;7,0;;7,0
;;;;9;9;;4;;;;4;6,5;;6,5
;;0;;;0;;;0;;;0;0,0;;0,0
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;7;;;;7;;;;4;;4;5,5;;5,5
;;;;1;1;;5;;;;5;5,0;;5,0
;;;;;;;;;;;;;;
10;;;;;10;10;;;;;10;10,0;;10,0
;;;;10;10;;7;;;;7;8,5;;8,5
;;9;;;9;;;3;;;3;6,0;;6,0
;;;;10;10;;10;;;;10;10,0;;10,0
;;2;;;2;;;2;;;2;2,0;0;2,0
;;;;0;0;;3;;;;3;3,0;4;4,0
;;;;;;;;;;;;;;
;;1;;;1;;;1;;;1;1,0;9;9,0
;;0;;;0;;;1;;;1;1,0;5;5,0
;;8;;;8;;;2;;;2;5,0;;5,0
;;;;4;4;;1;;;;1;2,5;0;2,5
;;0;;;0;;;2;;;2;2,0;10;10,0
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;0;;0;;;;;5;5;5,0;;5,0
;;;;;;;;;;;;;;
;;3;;;3;;;;;;;1,5;6;6,0
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;8;;;8;;;1;;;1;4,5;;4,5
;;10;;;10;;;3;;;3;6,5;;6,5
;;;5;;5;;;;;6;6;6,0;;6,0
;9;;;;9;;;;8;;8;8,5;;8,5
;;;;;;;;;;;;;;
;0;;;;0;;;;;;;0,0;;0,0
;;;;;;;;;;;;;;
;;9;;;9;;;6;;;6;7,5;;7,5
;;4;;;4;;;2;;;2;3,0;5;5,0
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;2;2;;3;;;;3;3,0;0;3,0
;;6;;;6;;;6;;;6;6,0;;6,0
;;9;;;9;;;10;;;10;10,0;;10,0
;;;;;;;;;;;;;;
;;;0;;0;;;;;;;0,0;4;4,0
;;;;0;0;;4;;;;4;4,0;2;4,0
;;0;;;0;;;;;;;0,0;2;2,0
;;;;5;5;;4;;;;4;4,5;;4,5
;;;7;;7;;;;;3;3;5,0;;5,0
;8;;;;8;;;;5;;5;6,5;;6,5
;;;0;;0;;;;;3;3;3,0;4;4,0
;;;;;;;;;;;;;;
;;;;9;9;;9;;;;9;9,0;;9,0
;;;;;;;;;;;;;;
;;0;;;0;;;;;;;0,0;5;5,0
;;;;9;9;;8;;;;8;8,5;;8,5
;;;;8;8;;10;;;;10;10,0;;10,0
;8;;;;8;;5;;;;5;6,5;;6,5
;;;;5;5;;3;;;;3;4,0;;4,0
;;0;;;0;;;0;;;0;0,0;0;0,0
;;0;;;0;;;2;;;2;2,0;4;4,0
